year,calendar_year,population_size,birth_count,births_per_population,births_per_eligible,births_per_matched_pair,death_count,matched_pair_count,new_pair_count,active_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,mean_perceived_candidate_count,median_perceived_candidate_count,mean_actionable_candidate_count,action_coverage_rate,visibility_action_gap,mean_selected_actionable_share,mean_selection_quota,mean_selection_acceptance_share,mean_phantom_candidate_count,mean_sampled_phantom_candidate_count,mean_selected_phantom_count,mean_phantom_selection_share,candidate_pool_multiplier,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,action_radius,blocked_mutual_pair_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius,variant,label,seed
48,2027,2228,1,0.000449,0.001161,0.2,30,5,0,64,0.988386,823.0,823.0,246899.999833,246899.999833,91.143204,0.110745,0.889255,0.018507,16.0,6.5e-05,246077.0,512.0,13.17233,0.823271,300.0,1.0,1.0,0.090307,1,0.12,4,0.010193,0.744518,1.929402,0.999102,2.0,1.414214,raw_sns,Raw SNS / no discipline,42
49,2028,2187,1,0.000457,0.001185,0.333333,42,3,0,52,0.992891,819.0,819.0,245699.999947,245699.999947,90.77561,0.110837,0.889163,0.012576,16.0,6.5e-05,244881.0,512.0,13.85,0.865625,300.0,1.0,1.0,0.090853,1,0.12,2,0.012364,0.735665,1.917896,0.999086,2.0,1.414214,raw_sns,Raw SNS / no discipline,42
50,2029,2156,0,0.0,0.0,0.0,31,2,1,39,0.995152,808.0,808.0,242399.999983,242399.999983,88.783684,0.109881,0.890119,0.013752,16.0,6.6e-05,241592.0,512.0,13.587145,0.849197,300.0,1.0,1.0,0.091253,1,0.12,2,0.011943,0.732458,1.913711,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
51,2030,2113,0,0.0,0.0,0.0,43,1,0,36,0.997555,804.0,804.0,241199.999995,241199.999995,89.008696,0.110707,0.889293,0.0125,16.0,6.6e-05,240396.0,512.0,13.836025,0.864752,300.0,1.0,1.0,0.091827,1,0.12,1,0.011417,0.728824,1.908958,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
52,2031,2090,0,0.0,0.0,0.0,23,0,0,32,1.0,782.0,782.0,234599.999998,234599.999998,85.833972,0.109762,0.890238,0.011734,16.0,6.8e-05,233818.0,512.0,13.851852,0.865741,300.0,1.0,1.0,0.092133,1,0.12,4,0.011648,0.724472,1.90325,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
53,2032,2050,0,0.0,0.0,0.0,40,0,0,21,1.0,771.0,771.0,231299.999999,231299.999999,84.15544,0.109151,0.890849,0.012063,16.0,6.9e-05,230529.0,512.0,13.840674,0.865042,300.0,1.0,1.0,0.092667,1,0.12,2,0.01193,0.719193,1.896303,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
54,2033,2012,0,0.0,0.0,0.0,38,1,1,16,0.997375,761.0,761.0,228300.0,228300.0,82.939633,0.108988,0.891012,0.010253,16.0,7e-05,227539.0,512.0,14.052493,0.878281,300.0,1.0,1.0,0.093173,1,0.12,3,0.011617,0.715681,1.891667,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
55,2034,1985,0,0.0,0.0,0.0,27,0,0,15,1.0,737.0,737.0,221100.0,221100.0,79.95122,0.108482,0.891518,0.007199,16.0,7.2e-05,220363.0,512.0,14.673442,0.91709,300.0,1.0,1.0,0.093533,1,0.12,1,0.013038,0.711031,1.885512,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
56,2035,1949,0,0.0,0.0,0.0,36,0,0,12,1.0,712.0,712.0,213600.0,213600.0,76.460028,0.107388,0.892612,0.007889,16.0,7.5e-05,212888.0,512.0,14.676017,0.917251,300.0,1.0,1.0,0.094013,1,0.12,2,0.013663,0.703596,1.875628,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
57,2036,1916,0,0.0,0.0,0.0,33,0,0,11,1.0,683.0,683.0,204900.0,204900.0,72.830409,0.106633,0.893367,0.005848,16.0,7.8e-05,204217.0,512.0,15.109649,0.944353,300.0,1.0,1.0,0.094453,1,0.12,1,0.015629,0.698844,1.869284,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
58,2037,1874,0,0.0,0.0,0.0,42,0,0,8,1.0,655.0,655.0,196500.0,196500.0,69.420732,0.105986,0.894014,0.004097,16.0,8.1e-05,195845.0,512.0,15.265244,0.954078,300.0,1.0,1.0,0.095013,1,0.12,0,0.013875,0.69058,1.858198,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
