candidate,label,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,pre_shock_rmse,early_rmse,full_anchor_rmse,shape_score,late_births_per_population_mean,target_error,inside_target_band,error_1980,error_1990,error_2000,error_2010,error_2020,error_2070,birth_probability,pair_duration_mean,initial_pair_fraction,carrying_capacity,lifespan_mean
bp0.22_dur26_cap6000_life78,"birth=0.22, duration=26, cap=6000, life=78",3,0.8041058374772043,0.768480909829407,0.8454692556634305,0.0072884016556414785,0.019876031819271875,0.030962959765647616,0.0779229023687037,0.008755250000000001,0.06410583747720433,True,0.0,0.004187618991927359,-0.004368112213966195,0.010280946338757571,0.029311114238761798,0.06089974068593773,0.22,26.0,0.55,6000,78.0
bp0.18_dur26_cap9000_life86,"birth=0.18, duration=26, cap=9000, life=86",3,0.7151376840208855,0.6636807817589576,0.7805077805077805,0.023493512221518253,0.03406493239214246,0.04054044450676862,0.0785203017904327,0.006279183333333334,0.02486231597911448,True,0.0,0.02300894669678762,0.03306965502072449,0.04926457539964028,0.039746937100254565,-0.028068412770381117,0.18,26.0,0.55,9000,86.0
bp0.20_dur26_cap6000_life86,"birth=0.20, duration=26, cap=6000, life=86",3,0.7353803134158824,0.6906122448979591,0.8230958230958231,0.025947132831499003,0.04218139335004543,0.046097633496014596,0.08004352180060748,0.006409483333333334,0.004619686584117599,True,0.0,0.02624794382464864,0.03603723186548454,0.059293104708850075,0.05685161366932142,-0.007825783375384199,0.2,26.0,0.55,6000,86.0
bp0.20_dur18_cap6000_life82,"birth=0.20, duration=18, cap=6000, life=82",3,0.6931397644912421,0.6443172526573998,0.7608163265306123,0.02132327243456883,0.02935615317347239,0.039168743501864896,0.08461597613634811,0.006169999999999999,0.04686023550875784,True,0.0,0.020270361328897406,0.0306161191380289,0.028836353315248402,0.043798871835433184,-0.050066332300024476,0.2,18.0,0.55,6000,82.0
bp0.22_dur18_cap4500_life86,"birth=0.22, duration=18, cap=4500, life=86",3,0.66769308036409,0.6522801302931596,0.6822276822276823,0.016400979614406664,0.022354951476387937,0.03720114383684836,0.0901208172620943,0.005840216666666666,0.07230691963590996,True,0.0,0.01670682422900671,0.022955983971734595,0.03315514216130996,0.02362883148005494,-0.07551301642717645,0.22,18.0,0.55,4500,86.0
bp0.22_dur18_cap4500_life82,"birth=0.22, duration=18, cap=4500, life=82",3,0.6661880843915653,0.6206050695012265,0.7151020408163266,0.01685014415074801,0.022575457324245058,0.04004564188305847,0.09388319268045961,0.006674683333333334,0.0738119156084347,True,0.0,0.018635038352609563,0.02162540265519704,0.02202339755240364,0.022828246463452828,-0.0770180123997013,0.22,18.0,0.55,4500,82.0
bp0.20_dur18_cap9000_life82,"birth=0.20, duration=18, cap=9000, life=82",3,0.7758763423869954,0.7453061224489796,0.8272208638956805,0.025033408881646197,0.04349348482907046,0.043441613228531295,0.09399989804383185,0.007315466666666666,0.03587634238699544,True,0.0,0.021271731795537763,0.036468361525100246,0.04393898173411256,0.07467229432015714,0.03267024559572895,0.2,18.0,0.55,9000,82.0
bp0.20_dur18_cap6000_life86,"birth=0.20, duration=18, cap=6000, life=86",3,0.666096219683935,0.6335504885993485,0.7010647010647011,0.016114318740792815,0.024551813865606707,0.03906593253388786,0.09443168309112542,0.0061271500000000005,0.07390378031606504,True,0.0,0.014802062324244783,0.023500201658809432,0.03859333046594774,0.026893472841485577,-0.0771098771073317,0.2,18.0,0.55,6000,86.0
bp0.22_dur18_cap4500_life78,"birth=0.22, duration=18, cap=4500, life=78",3,0.6575072842058169,0.6468189233278956,0.6636734693877551,0.014424372831284367,0.02627550054122867,0.043981747987303955,0.10493473129031698,0.0077201833333333325,0.08249271579418305,True,0.0,-0.006410262946726715,-0.02222186755023074,-0.023188846040574917,-0.032468745694577285,-0.0856988125854496,0.22,18.0,0.55,4500,78.0
bp0.22_dur26_cap4500_life78,"birth=0.22, duration=26, cap=4500, life=78",3,0.653287085533576,0.6308068459657702,0.6972176759410802,0.02335948312555883,0.035514434277093755,0.049871294683652624,0.11986357762468497,0.008281633333333333,0.08671291446642404,True,0.0,-0.015117939246075407,-0.03663757762805927,-0.03760231523557748,-0.05558016458934204,-0.0899190112576906,0.22,26.0,0.55,4500,78.0
bp0.20_dur26_cap9000_life82,"birth=0.20, duration=26, cap=9000, life=82",3,0.8234617305323435,0.7781402936378466,0.9077551020408163,0.0225586495571084,0.04132427888867968,0.05087198203585772,0.12359605646853924,0.008252283333333332,0.08346173053234351,True,0.0,0.02238898248654242,0.031068074672509976,0.04507285323735329,0.06956363005091408,0.08025563374107685,0.2,26.0,0.55,9000,82.0
bp0.24_dur18_cap4500_life82,"birth=0.24, duration=18, cap=4500, life=82",3,0.8308103942473485,0.7665306122448979,0.8859005704971475,0.030088637195934645,0.05228651488480702,0.060881659840781026,0.14550174312806052,0.007721316666666668,0.09081039424734849,True,0.0,0.02943499710166016,0.04272509078567155,0.05291325114847978,0.0899050671358849,0.08760429745608189,0.24,18.0,0.55,4500,82.0
bp0.22_dur26_cap6000_life82,"birth=0.22, duration=26, cap=6000, life=82",3,0.8387478118283144,0.7665306122448979,0.8824489795918368,0.02876300893737437,0.04844538903557749,0.06012380518434057,0.14583175287518088,0.00862955,0.09874781182831438,True,0.0,0.02995266227242503,0.039150508798181306,0.05096712001516771,0.08060558384536017,0.09554171503704782,0.22,26.0,0.55,6000,82.0
bp0.24_dur18_cap4500_life86,"birth=0.24, duration=18, cap=4500, life=86",3,0.8232614052767611,0.8111201962387572,0.8321167883211679,0.03514335431492736,0.05826514240580064,0.0625648009163152,0.1478943603590462,0.007477333333333333,0.08326140527676107,True,0.0,0.03521023430168668,0.04947610811804496,0.07810850675983505,0.08327519507069758,0.08005530848549454,0.24,18.0,0.55,4500,86.0
