variant,label,seed,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_unmatched_a_mean,late_unmatched_b_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,late_selection_quota_mean,reproductive_window,aspirational_gender,aspiration_quantile,aspiration_profile,reserve_fraction
b_mixed_income_plus_light,"B mixed: 500+ base, light compound tail",1,1211.0,1256.0,1996,557.0,0.4599504541701073,0.4475639966969447,2099.0,0.32718359999999996,0.4261278736056571,0.1840135422068417,0.036983833333333334,0.08920313333333332,0.9096592666666669,16.0,18-45,B,0.666,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0.25
b_mixed_income_plus_light,"B mixed: 500+ base, light compound tail",2,1217.0,1305.0,2006,630.0,0.5176663927691043,0.4724732949876746,2088.0,0.2872700666666666,0.28774861520411943,0.28580109932666853,0.03623270000000001,0.09548276666666668,0.9045172333333333,16.0,18-45,B,0.666,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0.25
b_mixed_income_plus_heavy,B mixed: compound-heavy tail,0,1217.0,1275.0,2000,238.0,0.19556285949055052,0.19474116680361545,2066.0,0.3893937,0.34362675306551316,0.4268518292594994,0.03931430000000001,0.06253563333333333,0.9374643666666667,16.0,18-45,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.25
b_mixed_income_plus_heavy,B mixed: compound-heavy tail,1,1211.0,1256.0,1996,213.0,0.17588769611891,0.17588769611891,2068.0,0.4438040666666666,0.4802543938507755,0.3922034357882755,0.03181253333333334,0.0544424,0.9455575999999998,16.0,18-45,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.25
b_mixed_income_plus_heavy,B mixed: compound-heavy tail,2,1217.0,1301.0,2006,357.0,0.2933442892358258,0.2908792111750205,2073.0,0.39204039999999996,0.4231860426942744,0.3533781860308722,0.033914900000000005,0.07898443333333333,0.9210155666666666,16.0,18-45,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.25
b_mixed_income_plus_heavy_reserve_050,"B compound-heavy, reserve 50%",0,1217.0,1275.0,2000,244.0,0.20049301561216104,0.19802793755135578,2067.0,0.47330539999999993,0.4331566252153917,0.5052413839013625,0.03253863333333333,0.06373820000000001,0.9362618000000001,16.0,18-45,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.5
b_mixed_income_plus_heavy_reserve_050,"B compound-heavy, reserve 50%",1,1211.0,1256.0,1996,245.0,0.2023121387283237,0.19322873658133774,2074.0,0.42087943333333333,0.42239873730905725,0.4107974780888052,0.0361126,0.0891794,0.9108205999999999,16.0,18-45,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.5
b_mixed_income_plus_heavy_reserve_050,"B compound-heavy, reserve 50%",2,1217.0,1301.0,2006,477.0,0.39194741166803615,0.37962202136400985,2079.0,0.34068493333333333,0.31810144935684087,0.36082286665663765,0.03940010000000001,0.08782789999999999,0.9120641333333332,16.0,18-45,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.5
b_mixed_income_plus_heavy_no_reserve,"B compound-heavy, no reserve",0,1217.0,1275.0,2000,0.0,0.0,0.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18-45,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.0
b_mixed_income_plus_heavy_no_reserve,"B compound-heavy, no reserve",1,1211.0,1256.0,1996,0.0,0.0,0.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18-45,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.0
