region,region_label,candidate,seed_count,anchor_rmse_mean,anchor_rmse_min,anchor_rmse_max,final_ratio_mean,final_ratio_min,final_ratio_max,late_births_per_population_mean,score,birth_probability,carrying_capacity,pair_duration_mean,lifespan_mean,location_cluster_count,initial_pair_fraction
gbr,United Kingdom,30,2,0.10471492499514723,0.0920279018680477,0.11740194812224676,1.2954118120678224,1.2788671023965141,1.3119565217391305,0.011125449999999999,0.10471492499514723,0.22,4800.0,26.0,84.0,10,0.55
gbr,United Kingdom,42,2,0.11042526052181251,0.1047461106491382,0.11610441039448681,1.311184522118026,1.289760348583878,1.3326086956521739,0.0124911,0.11042526052181251,0.26,3200.0,26.0,84.0,10,0.55
gbr,United Kingdom,32,2,0.11099722637634354,0.08582458393366137,0.13616986881902574,1.3101321974148061,1.2713513513513512,1.3489130434782608,0.0118481,0.11099722637634354,0.22,7200.0,14.0,84.0,10,0.55
gbr,United Kingdom,3,2,0.12023775718983229,0.11144339593083798,0.12903211844882662,0.9934162539828784,0.9824561403508771,1.0043763676148796,0.00693595,0.12023775718983229,0.18,3200.0,20.0,78.0,10,0.55
gbr,United Kingdom,36,2,0.13589824273987994,0.12052620712166365,0.1512702783580962,1.3666702188121627,1.3366013071895424,1.3967391304347827,0.012756,0.13589824273987994,0.22,7200.0,26.0,84.0,10,0.55
gbr,United Kingdom,34,2,0.1385042451886025,0.13167429442111642,0.14533419595608854,1.3639670360897984,1.3496732026143792,1.3782608695652174,0.01256745,0.1385042451886025,0.22,7200.0,20.0,84.0,10,0.55
gbr,United Kingdom,35,2,0.13859638862908152,0.10167435536890242,0.17551842188926062,1.3921092746160666,1.3311617806731812,1.453056768558952,0.01443505,0.13859638862908152,0.22,7200.0,26.0,78.0,10,0.55
gbr,United Kingdom,57,2,0.14770418750220576,0.11689596811594516,0.17851240688846637,1.3942234668691855,1.3427947598253276,1.4456521739130435,0.013748050000000001,0.14770418750220576,0.3,3200.0,20.0,78.0,10,0.55
gbr,United Kingdom,44,2,0.1505971741164778,0.11606626465010665,0.18512808358284893,1.3801175088131612,1.3167567567567569,1.4434782608695653,0.01304905,0.1505971741164778,0.26,4800.0,14.0,84.0,10,0.55
gbr,United Kingdom,47,2,0.15133736836544562,0.10993841950163492,0.1927363172292563,1.4153575725562697,1.3528773072747013,1.4778378378378378,0.014496150000000001,0.15133736836544562,0.26,4800.0,26.0,78.0,10,0.55
gbr,United Kingdom,55,2,0.15193930860250504,0.13486076931543065,0.1690178478895794,1.3959036865062613,1.3624595469255663,1.4293478260869565,0.0131356,0.15193930860250504,0.3,3200.0,14.0,78.0,10,0.55
gbr,United Kingdom,59,2,0.15433343508536201,0.13397934499641656,0.17468752517430747,1.4044925056060427,1.3679039301310043,1.441081081081081,0.0130825,0.15433343508536201,0.3,3200.0,26.0,78.0,10,0.55
gbr,United Kingdom,58,2,0.15546984859589316,0.1477509309984462,0.16318876619334013,1.3844561669111037,1.3695652173913044,1.3993471164309033,0.013017150000000002,0.15546984859589316,0.3,3200.0,20.0,84.0,10,0.55
gbr,United Kingdom,45,2,0.15785659472245017,0.1463173031262014,0.16939588631869895,1.4155254213284238,1.3978260869565218,1.4332247557003257,0.013570350000000002,0.15785659472245017,0.26,4800.0,20.0,78.0,10,0.55
